#M1 M3 xsec[pb] uncertainty[pb]
1000 1000 0.00345531077989 0.000188613008057
1000 1050 0.0033759657659 0.000184417932173
1000 1100 0.00291041483802 0.000161603481526
1050 1900 0.000333248327608 2.82971344155e-05
1000 1150 0.00251862163454 0.000144281487033
1000 1200 0.00218597838036 0.000128040743039
1000 1250 0.00172079771991 0.000104333885195
1000 1300 0.00166000648957 0.000101066081214
1000 1350 0.00145010122217 9.00631300624e-05
1000 1400 0.00133487947313 8.56609255592e-05
1000 1450 0.00116718603936 7.66473720282e-05
1000 1500 0.000976156718211 6.49598570722e-05
1000 1550 0.000896243787841 6.13623500682e-05
1000 1600 0.000786711582944 5.51546928596e-05
1000 1650 0.000691786557912 4.95959935992e-05
1000 1700 0.000608717936379 4.49736902859e-05
1000 1750 0.000536323719462 4.05621562411e-05
1000 1800 0.000472934883269 3.67406483174e-05
1000 1850 0.000428145669795 3.41557691722e-05
1000 1900 0.00037607955297 3.08259214743e-05
1000 1950 0.00032620000636 2.76951091798e-05
1000 2000 0.000294989603733 2.56619682013e-05
1000 2050 0.000259740567455 2.34352088317e-05
1000 2100 0.000231018679932 2.15615062964e-05
1000 2150 0.000204690023105 1.96922460503e-05
1000 2200 0.000181455026993 1.80314974028e-05
1000 2250 0.000163187567448 1.68120198443e-05
1000 2300 0.000144808585234 1.54903082961e-05
1000 2350 0.000128512866014 1.42761594757e-05
1000 2400 0.000115307283943 1.32994199783e-05
1000 2450 0.000101405376023 1.21922329059e-05
1000 2500 9.01338894175e-05 1.13172336551e-05
100 1000 0.0762604601432 0.00262984411405
100 1050 0.0627795722739 0.00221629636158
100 1100 0.0525656063196 0.0018743896403
100 1150 0.0437554029662 0.00163602698808
100 1200 0.036738068496 0.00139594212357
100 1250 0.0313074906848 0.00120528734399
100 1300 0.0255810643756 0.00102769205629
100 1350 0.0216517697064 0.000883376978712
100 1400 0.018529290405 0.000775747833387
100 1450 0.0157042666274 0.000675619428003
100 1500 0.0134822684014 0.000591706249927
100 1550 0.0116576908127 0.000523831861814
100 1600 0.00960236308967 0.00044595284049
100 1650 0.0082668867831 0.000392585802282
100 1700 0.00713334525795 0.000346549424286
100 1750 0.00622265104103 0.000307631933781
100 1800 0.00549401423784 0.000277944337037
100 1850 0.00476959067645 0.000245715415881
100 1900 0.00414680315874 0.000219874864318
100 1950 0.0034688278879 0.000187635077154
100 2000 0.00314546764799 0.000173434427141
100 2050 0.00283638475013 0.000161839903429
100 2100 0.0023555595218 0.00013526910855
100 2150 0.00213572457137 0.000126241020712
100 2200 0.00180738488097 0.000108322635599
100 2250 0.00162805517024 0.000100255701964
100 2300 0.00137327012641 8.61516319277e-05
100 2350 0.0012428713236 7.98327619118e-05
100 2400 0.00109359142722 7.20759731063e-05
100 2450 0.000954628456148 6.42303325005e-05
100 2500 0.000858471501574 5.93118578647e-05
1050 1000 0.00303017261311 0.000169285743365
1050 1050 0.0029364677807 0.000162758701466
1050 1100 0.00253419111331 0.000145089410086
1050 1150 0.0021816578224 0.000126322549093
1050 1200 0.00190849161605 0.000114055926925
1050 1250 0.00151310691979 9.3298454638e-05
1050 1300 0.00145222086492 9.03910631587e-05
1050 1350 0.00133585075649 8.60323926949e-05
1050 1400 0.00111275851216 7.23986081432e-05
1050 1450 0.000976502835043 6.51012020258e-05
1050 1500 0.00089604615408 6.13592674158e-05
1050 1550 0.000786565526009 5.5116273754e-05
1050 1600 0.000664459189257 4.76147081048e-05
1050 1650 0.000623129420767 4.58978982383e-05
1050 1700 0.000535854372569 4.04749795411e-05
1050 1750 0.000472581922449 3.66513349791e-05
1050 1800 0.000417014430175 3.31208158504e-05
1050 1850 0.000368580407614 3.03364522338e-05
1050 1950 0.000294562418686 2.5602804684e-05
1050 2000 0.000260545522882 2.34386639895e-05
1050 2050 0.000230596707831 2.13796924778e-05
1050 2100 0.000200566597544 1.919720358e-05
1050 2150 0.000180293522319 1.79434263299e-05
1050 2200 0.000160645668612 1.65591222481e-05
1050 2250 0.00014449199326 1.54799052435e-05
1050 2300 0.000128227664413 1.42582905925e-05
1050 2350 0.000113868296453 1.31754890919e-05
1050 2400 0.000100788269832 1.21386968247e-05
1050 2450 9.07269759187e-05 1.14093259023e-05
1050 2500 7.94477659595e-05 1.03869416786e-05
1100 1000 0.00266101135764 0.000149943740063
1100 1050 0.00229616670952 0.000131307410534
1100 1100 0.00221061350372 0.000129033505822
1100 1150 0.00173728355563 0.000104229963722
1100 1200 0.0016678814644 0.000101604091892
1100 1250 0.00145486883928 9.10021628876e-05
1100 1300 0.00127202333481 8.10604272648e-05
1100 1350 0.00111370578876 7.25631392702e-05
1100 1400 0.00101627278423 6.8350317385e-05
1100 1450 0.000895865553641 6.17019950384e-05
1100 1500 0.00078629862407 5.53510143798e-05
1100 1550 0.000664592542139 4.76498746804e-05
1100 1600 0.000607778076945 4.48289688838e-05
1100 1650 0.000535384870822 4.03949873989e-05
1100 1700 0.000474505238191 3.68407315616e-05
1100 1750 0.000418515970255 3.37489620193e-05
1100 1800 0.000376667793091 3.08762774067e-05
1100 1850 0.000325355880164 2.74227598454e-05
1100 1900 0.00028779430604 2.50050996881e-05
1100 1950 0.000254873205759 2.28697500263e-05
1100 2000 0.000229189148707 2.1452519184e-05
1100 2050 0.00020399687669 1.95985758825e-05
1100 2100 0.000181509434359 1.81329492783e-05
1100 2150 0.000161890458728 1.67068687421e-05
1100 2200 0.000142275850845 1.52389060822e-05
1100 2250 0.000126871776453 1.41321506819e-05
1100 2300 0.000113615778049 1.31270060503e-05
1100 2350 0.000100918752198 1.21381802038e-05
1100 2400 8.9674076586e-05 1.13254486123e-05
1100 2450 8.00380575256e-05 1.04803306152e-05
1100 2500 7.09440483251e-05 9.66427054829e-06
1150 1000 0.0023394700563 0.000132546794251
1150 1050 0.00223469249503 0.000129849243376
1150 1100 0.00193114564302 0.000114965250613
1150 1150 0.00167636691283 0.000102317476044
1150 1200 0.00145938448407 9.11761211736e-05
1150 1250 0.0011716805504 7.50937252545e-05
1150 1300 0.00111513653735 7.27867095782e-05
1150 1350 0.000977599211671 6.51190508263e-05
1150 1400 0.000858029954202 5.87121310898e-05
1150 1450 0.000786009587105 5.52629372637e-05
1150 1500 0.000690644250249 4.98971719281e-05
1150 1550 0.000585425782255 4.31193101028e-05
1150 1600 0.000534916874232 4.05385003788e-05
1150 1650 0.000471630932485 3.65790022853e-05
1150 1700 0.000418280480098 3.36664394892e-05
1150 1750 0.000367589535586 3.03769640564e-05
1150 1800 0.000324881612059 2.74679255263e-05
1150 1850 0.000293612211778 2.56166624366e-05
1150 1900 0.000258480772474 2.32904578709e-05
1150 1950 0.000229822805628 2.14554773316e-05
1150 2000 0.000203555036698 1.95594285766e-05
1150 2050 0.000181197584933 1.80851772851e-05
1150 2100 0.000159964219481 1.65247967385e-05
1150 2150 0.000141371098685 1.51564949429e-05
1150 2200 0.000127649064046 1.42381396972e-05
1150 2250 0.00011333820691 1.31359493249e-05
1150 2300 0.000100677701564 1.2139732878e-05
1150 2350 8.91200109215e-05 1.13704588929e-05
1150 2400 7.95445480548e-05 1.03851060601e-05
1150 2450 7.03389333514e-05 9.61401775413e-06
1150 2500 6.34483825567e-05 9.04019547045e-06
1200 1000 0.00227640561613 0.000131979824971
1200 1050 0.00205517003811 0.000122119708285
1200 1100 0.00168969696488 0.00010299228221
1200 1150 0.00146712460115 9.1481596505e-05
1200 1200 0.00117613593611 7.50261933529e-05
1200 1250 0.00111760732341 7.31659572188e-05
1200 1300 0.000978809897216 6.54607427259e-05
